target_account,target_account_id,followed_account,followed_account_id,is_premium,profile_image_url,profile_link
Xlyeds,38826864,Beheo,31787572,true,https://static.markt.de/bundles/edhjdhjj/image/markt/userprofile/default_private.svg,"https://www.markt.de/beheo/userId,31787572/profile.htm"
Xlyeds,38826864,schneehasee,39308753,true,https://imagecache.markt.de/65xd4tFHnLKD-EJowX-fi5c4tJY=/fit-in/150x200/images_profile/95/7f/ac8e-f86b-4590-b4b3-6881c6c275a0/image,"https://www.markt.de/schneehasee/userId,39308753/profile.htm"
Xlyeds,38826864,Julieta.Hotbutt,36255044,true,https://imagecache.markt.de/eLviwNfRDYhbqjmldbO2zpq5ks4=/fit-in/145x200/images_profile/1e/05/f016-e6c4-4f16-8450-4c8e41c2e2e0/image,"https://www.markt.de/julieta+hotbutt/userId,36255044/profile.htm"
Xlyeds,38826864,Lolacleo,34727504,true,https://imagecache.markt.de/4ZArPOEqyf6ovyZ7v0y2sVoM2vc=/fit-in/150x200/images_profile/c8/32/b571-b194-4152-9a7f-fc0ff261ec84/image,"https://www.markt.de/lolacleo/userId,34727504/profile.htm"
Looper32,27764107,NO_FOLLOWS,N/A,false,,N/A
DavidH31,13251843,Lady Sassy99,26005535,true,https://imagecache.markt.de/N8jkxyXVUhrR3LWnMYwsNDy-jK0=/fit-in/160x200/images_profile/23/02/8a68-1e95-4f1c-8c1f-d9310d5b0884/image,"https://www.markt.de/lady+sassy99/userId,26005535/profile.htm"
DavidH31,13251843,Lolacleo,34727504,true,https://imagecache.markt.de/4ZArPOEqyf6ovyZ7v0y2sVoM2vc=/fit-in/150x200/images_profile/c8/32/b571-b194-4152-9a7f-fc0ff261ec84/image,"https://www.markt.de/lolacleo/userId,34727504/profile.htm"
DavidH31,13251843,MadameFranziska,35928249,true,https://imagecache.markt.de/WE-xMhxMc0uNgZeCc__1z8N-6Ag=/fit-in/141x200/images_profile/b8/e7/c3b0-211e-4514-b059-592deab5bddb/image,"https://www.markt.de/madamefranziska/userId,35928249/profile.htm"
DavidH31,13251843,Sweet apple 2025,37647111,true,https://imagecache.markt.de/gxrl0ICzx5NA_py9S1AN2IEpl_M=/fit-in/150x200/images_profile/90/c4/18b5-339e-4459-9ba1-8041bfa8394c/image,"https://www.markt.de/sweet+apple+2025/userId,37647111/profile.htm"
DavidH31,13251843,Sarsusu,20299218,true,https://imagecache.markt.de/E-B4Ez1zdlTUQ5nQX4RXQllVLqw=/fit-in/112x200/images_profile/90/24/7773-cf1b-4016-832c-81967248d686/image,"https://www.markt.de/sarsusu/userId,20299218/profile.htm"
