target_account,target_account_id,status,timestamp,premium_found,total_followed
Xlyeds,38826864,completed,2025-08-07T11:52:07.529Z,5,5
Looper32,27764107,completed,2025-08-07T11:52:16.133Z,0,0
DavidH31,13251843,completed,2025-08-07T11:52:33.622Z,10,10
Karate24,22574089,completed,2025-08-07T11:52:46.340Z,2,2
Hayabusa73,19080650,completed,2025-08-07T11:52:58.856Z,3,3
Burak2729,29537977,completed,2025-08-07T11:53:14.150Z,5,5
Timbo19992,27156322,completed,2025-08-07T11:53:25.172Z,1,1
Moeper96,19946788,completed,2025-08-07T11:53:37.431Z,0,5
DaniAl1079,36794134,completed,2025-08-07T11:53:58.354Z,17,17
xTom98x,35103069,completed,2025-08-07T11:54:13.162Z,3,3
Handjob aktiv,31590342,completed,2025-08-07T11:54:36.909Z,3,3
Lieso,38483471,failed,2025-08-07T11:54:38.419Z,0,0
Dergeile23415,37842486,failed,2025-08-07T11:54:38.421Z,0,0
dogggy788,28028586,failed,2025-08-07T11:54:38.424Z,0,0
Caiso,10791321,failed,2025-08-07T11:54:38.427Z,0,0
Samenspender0815,38850558,failed,2025-08-07T11:54:38.431Z,0,0
Timati97,11385231,failed,2025-08-07T11:54:38.433Z,0,0
MelanieSissy,27011512,failed,2025-08-07T11:54:38.436Z,0,0
Myasi,22950829,failed,2025-08-07T11:54:38.441Z,0,0
Dzango,39173831,failed,2025-08-07T11:54:38.445Z,0,0
Sven94celle,15405196,failed,2025-08-07T11:54:38.449Z,0,0
Jonathan992,8753478,failed,2025-08-07T11:54:38.453Z,0,0
Raikyu77,26191495,failed,2025-08-07T11:54:38.456Z,0,0
Rexse30,32068037,failed,2025-08-07T11:54:38.458Z,0,0
Slysekt,38838963,failed,2025-08-07T11:54:38.461Z,0,0
xflowers4,32821683,failed,2025-08-07T11:54:38.463Z,0,0
Saasch1990,34494614,failed,2025-08-07T11:54:38.470Z,0,0
VersautUlm,38254816,failed,2025-08-07T11:54:38.473Z,0,0
Schnabbes,31490952,failed,2025-08-07T11:54:38.477Z,0,0
Fuckholic1987,33911209,completed,2025-08-07T22:37:45.496Z,0,0
HabkeineAhnung,39316865,completed,2025-08-07T22:37:45.575Z,0,0
sittenstrolch86,19427445,completed,2025-08-07T22:37:45.712Z,0,0
Marcos1496,25978655,completed,2025-08-07T22:37:45.833Z,0,0
MrWindsor,36526369,completed,2025-08-07T22:37:45.851Z,0,0
LeHoneybadger,13297126,completed,2025-08-07T22:37:45.996Z,0,0
Liveemanuel1989,13932672,completed,2025-08-07T22:37:46.014Z,0,0
AlexW87,33860089,completed,2025-08-07T22:37:46.255Z,0,0
Lkwdriver,27854312,completed,2025-08-07T22:37:46.509Z,0,0
Ds-Foto,2362316,completed,2025-08-07T22:37:46.528Z,0,0
Profil191,10450245,completed,2025-08-07T22:37:51.991Z,0,0
